TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
TITLE:,PERCENT OF HOUSEHOLDS THAT ARE MULTIGENERATIONAL,,,,
R1106,01000US,United States,95,3.8,+/-0.1
R1106,04000US01,Alabama,95,3.8,+/-0.3
R1106,04000US02,Alaska,95,3.5,+/-0.4
R1106,04000US04,Arizona,95,4.5,+/-0.2
R1106,04000US05,Arkansas,95,3.3,+/-0.3
R1106,04000US06,California,95,5.8,+/-0.1
R1106,04000US08,Colorado,95,3.1,+/-0.2
R1106,04000US09,Connecticut,95,3.2,+/-0.2
R1106,04000US10,Delaware,95,4.1,+/-0.6
R1106,04000US11,District of Columbia,95,2.9,+/-0.5
R1106,04000US12,Florida,95,4,+/-0.1
R1106,04000US13,Georgia,95,4.4,+/-0.2
R1106,04000US15,Hawaii,95,7.3,+/-0.6
R1106,04000US16,Idaho,95,2.9,+/-0.4
R1106,04000US17,Illinois,95,3.3,+/-0.2
R1106,04000US18,Indiana,95,2.8,+/-0.2
R1106,04000US19,Iowa,95,2,+/-0.2
R1106,04000US20,Kansas,95,2.5,+/-0.2
R1106,04000US21,Kentucky,95,3.3,+/-0.2
R1106,04000US22,Louisiana,95,3.6,+/-0.2
R1106,04000US23,Maine,95,2.1,+/-0.3
R1106,04000US24,Maryland,95,4.6,+/-0.2
R1106,04000US25,Massachusetts,95,3.5,+/-0.2
R1106,04000US26,Michigan,95,2.9,+/-0.1
R1106,04000US27,Minnesota,95,2,+/-0.1
R1106,04000US28,Mississippi,95,4.7,+/-0.4
R1106,04000US29,Missouri,95,2.8,+/-0.2
R1106,04000US30,Montana,95,1.9,+/-0.3
R1106,04000US31,Nebraska,95,2.2,+/-0.2
R1106,04000US32,Nevada,95,4.4,+/-0.3
R1106,04000US33,New Hampshire,95,2.9,+/-0.4
R1106,04000US34,New Jersey,95,4.3,+/-0.2
R1106,04000US35,New Mexico,95,4.3,+/-0.4
R1106,04000US36,New York,95,4.3,+/-0.1
R1106,04000US37,North Carolina,95,3.2,+/-0.2
R1106,04000US38,North Dakota,95,1.2,+/-0.2
R1106,04000US39,Ohio,95,2.8,+/-0.1
R1106,04000US40,Oklahoma,95,3.2,+/-0.2
R1106,04000US41,Oregon,95,2.9,+/-0.2
R1106,04000US42,Pennsylvania,95,3.2,+/-0.1
R1106,04000US44,Rhode Island,95,2.9,+/-0.5
R1106,04000US45,South Carolina,95,3.8,+/-0.2
R1106,04000US46,South Dakota,95,2,+/-0.3
R1106,04000US47,Tennessee,95,3.5,+/-0.2
R1106,04000US48,Texas,95,4.9,+/-0.1
R1106,04000US49,Utah,95,3.6,+/-0.3
R1106,04000US50,Vermont,95,1.9,+/-0.3
R1106,04000US51,Virginia,95,3.6,+/-0.2
R1106,04000US53,Washington,95,3.3,+/-0.2
R1106,04000US54,West Virginia,95,2.9,+/-0.3
R1106,04000US55,Wisconsin,95,1.8,+/-0.1
R1106,04000US56,Wyoming,95,1.6,+/-0.4
R1106,04000US72,Puerto Rico,95,4.6,+/-0.4